geonames,place_type,mot,longitude,latitude
2977845,settlement,père,2.26091,50.74834
2970530,settlement,père,6.05622,48.41692
3016274,settlement,père,6.87787,48.07346
3038012,settlement,père,7.23954,47.62417
2970401,settlement,père,6.09773,47.92159
2991652,settlement,père,4,47.08333
2968866,settlement,père,0.27923,45.48254
2980340,settlement,père,-0.63489,45.74742
2968866,settlement,père,0.27923,45.48254
2995854,settlement,père,-1.10514,45.82268
3008042,settlement,père,0.06097,44.55834
3035681,settlement,père,4.80892,43.94834
3029030,settlement,père,3.23472,50.17596
3016702,settlement,père,6.07868,44.55858
2658864,settlement,père,7.0032,46.21826
2660851,settlement,père,6.8465,46.84876
3036784,settlement,père,2.78186,50.29301
2978645,settlement,père,0.65137,48.08975
2661513,settlement,père,7.24608,47.13713
2661035,settlement,père,7.34453,47.36493
2661092,settlement,père,7.07236,47.17822
3028486,settlement,père,2.95815,50.49235
2989497,settlement,pairre,5.96915,49.01665
3027082,settlement,pere,5.51539,47.61525
3033123,settlement,pere,6.01815,47.24878
2993209,settlement,pere,0.08063,44.65057
2791834,settlement,pere,6.02794,50.42686
3015958,settlement,paire,6.82733,47.74272
3023919,settlement,paire,0.67195,46.01311
2993002,settlement,paire,1.3542,44.01759
2988670,settlement,paire,1.61079,43.1165
3018174,settlement,paire,1.60705,42.96535
3002465,settlement,paire,3.88523,45.04366
2659601,settlement,paire,6.91143,46.43301
2969562,settlement,pare,6.14251,47.62604
2984885,region,pare,2.58889,42.60075
2660463,settlement,pare,7.08207,46.58338
3006787,settlement,cher,-1.15222,46.16308
2968866,settlement,paï,0.27923,45.48254
3013719,region,paï,1.21781,45.88341
2976546,settlement,paï,1.20329,45.5145
2990140,settlement,pay,0.66168,45.52957
3006979,settlement,pay,-0.03857,44.58239
2979657,settlement,pay,1.14587,42.98491
2976007,settlement,païré,1.21656,44.88902
3028641,settlement,païré,2.34863,43.21649
2973362,region,païré,2.16317,43.7817
2995469,settlement,païré,5.38107,43.29695
2970749,region,païré,6.29145,43.4586
3023919,settlement,paîré,0.67195,46.01311
2981816,settlement,payre,3.10788,45.669
2983154,settlement,pèro,2.57338,44.35258
2985290,settlement,pèro,4.59918,44.735
2995469,settlement,pèro,5.38107,43.29695
3013767,region,payré,1.22191,43.38724
2790471,settlement,pére,4.86746,50.4669
2997936,settlement,pèra,3.31959,43.73178
2992166,settlement,pèra,3.87635,43.61093
2997288,region,pero,3.5,44.5
3038224,settlement,pero,4.08082,44.12489
3028382,settlement,pero,6.51283,43.84707
3037514,settlement,peire,4.6707,45.23992
2790869,settlement,pée,3.95229,50.45413
2990363,settlement,péro,4.35788,43.83665
6431469,settlement,përo,4.41972,44.0125
3029603,settlement,péré,5.27187,44.27647
2989819,settlement,péré,5.14052,44.36082
3029256,settlement,pairé,5.37339,43.735
2971053,settlement,pèret,4.90956,44.9256
2660646,settlement,pâre,6.14569,46.20222
2659568,settlement,pâre,7.36951,47.27818
2974661,settlement,pèrë,6.35634,44.35042
2660904,settlement,bap,10,46.5
2660904,settlement,bap,10,46.5
