geonames,place_type,mot,longitude,latitude
2792413,settlement,après,5.56749,50.63373
2790869,settlement,après,3.95229,50.45413
3029030,settlement,après,3.23472,50.17596
3036784,settlement,après,2.78186,50.29301
3028486,settlement,après,2.95815,50.49235
2977845,settlement,après,2.26091,50.74834
3027082,settlement,après,5.51539,47.61525
2968866,settlement,après,0.27923,45.48254
2980340,settlement,après,-0.63489,45.74742
2968866,settlement,après,0.27923,45.48254
2995854,settlement,après,-1.10514,45.82268
2993209,settlement,après,0.08063,44.65057
3008042,settlement,après,0.06097,44.55834
2968866,settlement,après,0.27923,45.48254
2990140,settlement,après,0.66168,45.52957
3013719,region,après,1.21781,45.88341
2976546,settlement,après,1.20329,45.5145
2981816,settlement,après,3.10788,45.669
2993002,settlement,après,1.3542,44.01759
3006979,settlement,après,-0.03857,44.58239
3016194,region,après,0.45422,43.71731
2997936,settlement,après,3.31959,43.73178
2997288,region,après,3.5,44.5
2992166,settlement,après,3.87635,43.61093
3002465,settlement,après,3.88523,45.04366
3037514,settlement,après,4.6707,45.23992
2990363,settlement,après,4.35788,43.83665
6431469,settlement,après,4.41972,44.0125
2970749,region,après,6.29145,43.4586
3029603,settlement,après,5.27187,44.27647
2971053,settlement,après,4.90956,44.9256
3016702,settlement,après,6.07868,44.55858
2658864,settlement,après,7.0032,46.21826
2660646,settlement,après,6.14569,46.20222
2791834,settlement,apret,6.02794,50.42686
2989497,settlement,etpré,5.96915,49.01665
2970401,settlement,etpré,6.09773,47.92159
2970530,settlement,épret,6.05622,48.41692
3016274,settlement,espré,6.87787,48.07346
3038012,settlement,aiprai,7.23954,47.62417
3015958,settlement,aprét,6.82733,47.74272
2969562,settlement,èprée,6.14251,47.62604
3033123,settlement,aipre,6.01815,47.24878
2991652,settlement,aiprès,4,47.08333
3023919,settlement,apreis,0.67195,46.01311
2976007,settlement,oprès,1.21656,44.88902
3036016,settlement,oprès,2.43983,44.92539
2983154,settlement,oprès,2.57338,44.35258
3023919,settlement,aprey,0.67195,46.01311
2979657,settlement,ensuite,1.14587,42.98491
3013767,region,aprèp,1.22191,43.38724
2984885,region,despres,2.58889,42.60075
3028641,settlement,apéï,2.34863,43.21649
2973362,region,aprép,2.16317,43.7817
3035681,settlement,aprè,4.80892,43.94834
2989819,settlement,aprè,5.14052,44.36082
3029256,settlement,aqui,5.37339,43.735
3021435,settlement,oprés,5.37033,44.7536
3028382,settlement,appressou,6.51283,43.84707
