geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
3038012,settlement,rentré,7.23954,47.62417,oui,oui,NA,NA,NA,
2991652,settlement,rentré,4,47.08333,oui,oui,NA,NA,NA,
2993209,settlement,rentré,0.08063,44.65057,oui,oui,NA,NA,NA,
2981816,settlement,rentré,3.10788,45.669,oui,oui,NA,NA,NA,
2792413,settlement,Rivnou,5.56749,50.63373,NA,NA,NA,NA,NA,
2791834,settlement,rintré,6.02794,50.42686,oui,non,NA,NA,NA,
2790471,settlement,raintré,4.86746,50.4669,oui,pe,non,oui,NA,
2790869,settlement,rappensé,3.95229,50.45413,NA,NA,NA,NA,NA,
3029030,settlement,r’vnu,3.23472,50.17596,NA,NA,NA,NA,NA,
3036784,settlement,rapainseant,2.78186,50.29301,NA,NA,NA,NA,NA,
3028486,settlement,pensent,2.95815,50.49235,NA,NA,NA,NA,NA,
2977845,settlement,arvenu,2.26091,50.74834,NA,NA,NA,NA,NA,
2989497,settlement,réntraye,5.96915,49.01665,oui,oui,NA,NA,NA,
2970530,settlement,ervenu,6.05622,48.41692,NA,NA,NA,NA,NA,
3016274,settlement,ratret,6.87787,48.07346,oui,oui,NA,NA,NA,
3015958,settlement,rentra,6.82733,47.74272,oui,oui,NA,NA,NA,
3033123,settlement,rentra,6.01815,47.24878,oui,oui,NA,NA,NA,
2968866,settlement,rentra,0.27923,45.48254,oui,oui,NA,NA,NA,
2990140,settlement,rentra,0.66168,45.52957,oui,oui,NA,NA,NA,
2976546,settlement,rentra,1.20329,45.5145,oui,oui,NA,NA,NA,
2997936,settlement,rentra,3.31959,43.73178,oui,non,NA,NA,NA,
6431469,settlement,rentra,4.41972,44.0125,oui,oui,NA,NA,NA,
2970401,settlement,reflêchissoit,6.09773,47.92159,NA,NA,NA,NA,NA,
2969562,settlement,songean,6.14251,47.62604,NA,NA,NA,NA,NA,
3027082,settlement,rentréi,5.51539,47.61525,oui,pe,non,oui,NA,
3023919,settlement,corrigea,0.67195,46.01311,NA,NA,NA,NA,NA,
2980340,settlement,revenit,-0.63489,45.74742,NA,NA,NA,NA,NA,
2968866,settlement,retourné,0.27923,45.48254,NA,NA,NA,NA,NA,
2995854,settlement,songit,-1.10514,45.82268,NA,NA,NA,NA,NA,
3008042,settlement,revingut,0.06097,44.55834,NA,NA,NA,NA,NA,
2968866,settlement,rantra,0.27923,45.48254,oui,oui,NA,NA,NA,
2976007,settlement,rentrât,1.21656,44.88902,oui,oui,NA,NA,NA,
3023919,settlement,reintrêt,0.67195,46.01311,oui,pe,non,oui,NA,
3013719,region,pensé,1.21781,45.88341,NA,NA,NA,NA,NA,
2983154,settlement,dintrat,2.57338,44.35258,oui,oui,NA,NA,NA,
2993002,settlement,rebenguen,1.3542,44.01759,NA,NA,NA,NA,NA,
3006979,settlement,Rentret,-0.03857,44.58239,oui,oui,NA,NA,NA,
3016194,region,rentrée,0.45422,43.71731,oui,oui,NA,NA,NA,
2988670,settlement,rintrat,1.61079,43.1165,oui,non,NA,NA,NA,
2992166,settlement,rintrat,3.87635,43.61093,oui,oui,NA,NA,NA,
2979657,settlement,rentrach,1.14587,42.98491,oui,oui,NA,NA,NA,
3013767,region,dintrèc,1.22191,43.38724,oui,oui,NA,NA,NA,
3018174,settlement,rebengut,1.60705,42.96535,NA,NA,NA,NA,NA,
3041565,region,rebengut,1.58333,42.55,NA,NA,NA,NA,NA,
2973362,region,rebengut,2.16317,43.7817,NA,NA,NA,NA,NA,
2984885,region,Reflectint,2.58889,42.60075,NA,NA,NA,NA,NA,
2985290,settlement,intra,4.59918,44.735,oui,oui,NA,NA,NA,
2989819,settlement,intra,5.14052,44.36082,oui,oui,NA,NA,NA,
2997288,region,Rentrét,3.5,44.5,oui,pe,oui,non,NA,
3037514,settlement,revaingu,4.6707,45.23992,NA,NA,NA,NA,NA,
2990363,settlement,revengu,4.35788,43.83665,NA,NA,NA,NA,NA,
2995469,settlement,rintret,5.38107,43.29695,oui,oui,NA,NA,NA,
2970749,region,Revengut,6.29145,43.4586,NA,NA,NA,NA,NA,
3029603,settlement,songeavo,5.27187,44.27647,NA,NA,NA,NA,NA,
3029256,settlement,révéngue,5.37339,43.735,NA,NA,NA,NA,NA,
2971053,settlement,revenant,4.90956,44.9256,NA,NA,NA,NA,NA,
3021435,settlement,révénon,5.37033,44.7536,NA,NA,NA,NA,NA,
3016702,settlement,reconneissu,6.07868,44.55858,NA,NA,NA,NA,NA,
2658864,settlement,rintrò,7.0032,46.21826,oui,pe,oui,non,NA,
2661017,settlement,tornant,7.11693,47.11342,NA,NA,NA,NA,NA,
2660646,settlement,rëvëngu,6.14569,46.20222,NA,NA,NA,NA,NA,
3028382,settlement,révignou,6.51283,43.84707,NA,NA,NA,NA,NA,
